地域,昭和31年1月1日,昭和32年1月1日,昭和33年1月1日,昭和34年1月1日,昭和35年1月1日,昭和36年1月1日,昭和37年1月1日,昭和38年1月1日,昭和39年1月1日,昭和40年1月1日,昭和41年1月1日,昭和42年1月1日,昭和43年1月1日,昭和44年1月1日,昭和45年1月1日,昭和46年1月1日,昭和47年1月1日,昭和48年1月1日,昭和49年1月1日,昭和50年1月1日,昭和51年1月1日,昭和52年1月1日,昭和53年1月1日,昭和54年1月1日,昭和55年1月1日,昭和56年1月1日,昭和57年1月1日,昭和58年1月1日,昭和59年1月1日,昭和60年1月1日,昭和61年1月1日,昭和62年1月1日,昭和63年1月1日,昭和64年1月1日,平成2年1月1日,平成3年1月1日,平成4年1月1日,平成5年1月1日,平成6年1月1日,平成7年1月1日,平成8年1月1日,平成9年1月1日,平成10年1月1日,平成11年1月1日,平成12年1月1日,平成13年1月1日,平成14年1月1日,平成15年1月1日,平成16年1月1日,平成17年1月1日,平成18年1月1日,平成19年1月1日,平成20年1月1日,平成21年1月1日,平成22年1月1日,平成23年1月1日,平成24年1月1日,平成25年1月1日,平成26年1月1日,平成27年1月1日,平成28年1月1日,平成29年1月1日,平成30年1月1日,平成31年1月1日,令和2年1月1日,令和3年1月1日,令和4年1月1日,令和5年1月1日
千代田区,122845,122061,120539,119802,119045,116991,114020,111751,108673,103008,92515,88538,86893,82863,78136,73248,72227,69269,64527,62716,62122,59795,58341,56570,55705,54828,53900,53764,52836,52390,50355,48072,45316,43066,41060,39420,38129,36933,35481,34967,34595,34944,34970,35068,35339,35914,36621,36983,39120,40849,42165,43421,44258,45073,46243,47271,48504,50242,52814,56241,58512,59664,61083,63386,65628,66854,66687,67549
中央区,170824,168803,167435,166114,163625,159779,156891,152136,148288,143463,126793,122505,118062,112367,107608,102130,98900,96180,92954,91155,89429,87846,86078,84650,83008,82694,81716,81256,80883,80546,79287,77340,74908,72240,69976,67729,67230,66068,65052,64371,63964,64150,64805,66541,69695,73703,78716,83393,88052,93863,100285,104752,108567,115572,119612,123321,126224,129210,132803,137871,142411,148983,156086,161691,167473,169639,170475,173130
港区,255547,258170,260898,262694,264718,265431,263672,260552,254820,249523,240162,234378,231007,227156,225790,222443,221954,220722,217010,211764,208847,204036,201168,200096,200363,201059,200737,201057,198892,197783,193754,188128,179272,170697,163801,156864,152748,148420,146202,145051,144435,148554,149628,152682,154593,160535,166253,168991,173867,180252,187548,194457,202128,203858,203472,206320,212250,218812,226757,236268,243414,248927,253564,257592,260787,259629,257776,262208
新宿区,352504,365783,380728,393153,404415,414915,418759,417163,416783,413303,412668,406003,401428,396032,392924,384920,380195,377374,371880,367921,365458,358919,351913,349234,345924,342638,341020,339261,336652,334460,332037,328126,320142,314919,303932,295217,290042,285252,281694,279460,277748,276827,278986,281109,283010,287164,291162,295672,299603,302201,306180,309343,313439,319115,323162,326223,323661,325723,327492,329979,335603,340600,345126,349707,352712,350037,346028,351085
文京区,238950,244039,248971,253608,257309,260074,260930,261359,259716,256772,252952,249188,246511,241276,235913,231720,228773,224886,219344,216466,215399,211508,208836,206268,203026,201515,199032,198176,197521,197180,195750,194242,191214,188023,184059,180542,178789,177050,174988,173063,171937,171043,171024,172045,174467,176269,179591,182193,184266,187308,190717,194634,198234,201653,204159,207215,209096,210271,213506,216908,220179,224539,228694,233494,238852,239866,239624,242945
台東区,311500,315950,317064,317746,317711,315448,313635,311316,307320,300879,284286,274512,267411,260532,246116,239201,231120,225295,217629,210169,206310,200908,196455,191914,188545,185439,183113,180551,179166,178173,176350,173660,170926,168000,165196,162639,160787,159085,157289,155552,153554,153595,153139,153404,154864,157004,158790,161234,162155,163531,165544,167136,168724,172136,174524,176874,180371,185330,190138,194557,198632,200994,203602,207068,210516,211970,212032,215802
墨田区,307459,315375,319964,323742,328589,332027,331660,330504,327813,324272,315398,307055,304410,297868,288953,279108,271047,264149,256797,252703,249640,244527,239818,236192,233643,232411,230924,231976,231293,230594,229204,227467,226998,224946,223327,222415,220927,219847,219203,217586,214914,214076,213861,213793,213665,216749,219792,222168,225720,229414,231458,235744,239363,242097,245328,247579,247249,248613,250792,254142,257103,260829,264709,267892,271156,272081,272158,276419
江東区,281927,298029,313955,329607,342128,351401,359485,365713,368538,366131,357021,350010,343846,345621,351196,356038,360198,358292,355930,352944,353284,352980,355649,355948,358696,362894,372082,378389,382210,386033,389633,392644,392207,391711,387999,384496,381770,378958,374353,369813,363977,362321,365459,368215,371365,377633,386360,393930,402813,410065,423083,430908,437131,445778,456528,462165,467816,473061,481499,489879,498890,503960,510707,516048,519464,523980,523631,530561
品川区,375969,386299,397811,408746,420320,428612,432537,428919,431132,427448,421762,410621,409380,408114,402526,398288,391268,384623,376148,369451,364768,358662,352610,347927,346866,345540,345184,344327,348693,354229,357911,357659,352452,350468,347640,343402,339921,336646,332016,327983,324605,322779,322637,323273,323385,325188,328797,333207,337893,343337,347128,350848,356371,359786,363145,366072,369377,372600,376166,380890,388428,394006,399825,407884,415882,421363,418658,419155
目黒区,256009,264464,272797,279766,287030,294302,296136,295892,294458,294097,298233,296966,296627,297899,296895,295622,294248,291814,288585,286418,283949,279818,277291,275457,274408,273195,271291,270518,269942,269396,268628,267086,262192,257381,253119,250787,248637,245837,243702,242534,243144,244390,245182,246007,248065,250971,255155,258825,260568,262313,264003,266854,267143,267685,267234,267983,268690,271077,273620,275915,277680,279875,282908,285424,287513,287323,284282,284641
